ID,Name,Description,Effect,Choice1,Choice1Effect,Choice1Roll,Choice1Success,Choice1Failure,Choice2,Choice2Effect,Choice2Roll,Choice2Success,Choice2Failure
1,Mirror of Versions,"You see a better version of yourself—standing taller, smiling more, untouched by failure. It mouths the words, 'You could’ve been me.'",,Confront them,,6,+2 Sanity,-1 Sanity,Smash the mirror,-1 Hope; gain item: Shard of What Might've Been,,,
2,The Vending Machine of Moral Compromise,"Glowing buttons read: 'Sell your soul.' 'Get chips.' 'Lie to yourself.' The machine hums: 'It’s not that deep.'",,Use the machine,-1 Sanity; gain item: Salted Trauma Chips,,,,Kick it,,>=4,+1 Sanity; gain item: Salted Trauma Chips,-2 Hope
3,The Whispering Socket,"A glowing port pulses with green light. You swear it knows your passwords. It whispers: 'Let us in. It won’t hurt… much.'",
4,The Pit of Almosts,"A half-finished bridge spans a pit full of regrets and missed chances. A whisper says, 'You almost made it.'",
5,Hall of Unfinished Goodbyes,"Letters float mid-air, written in your own hand but never sent. One drifts toward you, blank on the outside. Inside? Maybe closure.",
6,Bureaucratic Maw,"Paperwork looms like teeth. A voice demands, 'Submit Form 7B: Acknowledgment of Cosmic Meaninglessness.'",
7,The Data Swamp,"Misinformation sloshes at your knees. Floating tweets and dying memes screech for attention. A sign reads: 'Ignore Reality, Gain Likes.'",
8,The Final Threshold,"A black door hums with power. Your name is etched above it—twice. The void speaks: 'One walks. One stays.'",
9,The Flickering Exit,"A doorway pulses like static. Behind it, you see peace. Or maybe a loading screen. A screen above it loops the phrase: 'This Might Be Real.'",
10,The Crawlspace of Unfinished Projects,"You find journals half-filled, paintings half-painted, code half-documented. They all whisper: 'You were going to finish us…'",
11,The Mouth of the Machine,"A twisted bulkhead pulses and opens like a jaw. Inside: screens, wires, teeth. A voice says, 'Submit input: yourself.'",
12,The Library of Lost Causes,"Endless shelves filled with books no one finished. Every spine has your name on it.",
13,The Looping Corridor,"You walk forward and re-enter from behind yourself. You walk again. And again. And again.",
14,The Apology Room,"The walls whisper every 'I’m sorry' you’ve ever wanted. It should help. It doesn’t.",
15,The Room You Forgot,"You’ve definitely been here before. The wallpaper is bleeding. The door behind you vanishes.",
16,The Plaza of Forgotten Names,"A fountain full of name tags bubbles beside a sign: 'Rebrand Yourself.' Your name flickers on and off your chest.",
17,The Graveyard of Yesterdays,"You step past versions of yourself buried in shallow graves. Some look fresher than others.",
18,The Elevator That Only Goes Down,"There’s a button for 'Lobby (Not Real),' 'Worse,' and 'Rock Bottom.' Ding.",
19,The Silent Ward,"A hospital wing. Empty beds. No machines. No encounter text plays. No choices appear. Just quiet.",
20,The Hall of Digital Ghosts,"You see your old usernames float past, distorted. Messages from forgotten forums blink in unread grief.",
21,Fork in the Real,"The path splits. Left is light. Right is shadow. Straight ahead? Doesn’t exist—yet.",
22,The Snackless Breakroom,"There's a coffee machine, a sad microwave, and nothing in the fridge. You open the cabinet. It smells like betrayal.",
23,The Discarded Room,"This room was meant for someone else. Their name is scratched out. Yours is written over it—sloppily.",
24,The Applause Trap,"A spotlight snaps on. The room claps. A voice says, 'You did it.' You didn't.",
25,The Compromise Engine,"Giant gears spin around a question: 'How much of yourself are you willing to give to keep going?'",
26,The Void Restroom,"The stalls whisper. The toilet bowl stares. The hand dryer growls, 'Leave cleaner than you came.'",
27,The Room with No Door,"You enter. You look back. The door is gone.",
28,The Archive of Everything That Didn’t Work,"Every failed attempt, every unfinished effort—filed, sorted, and alphabetized by emotion.",
29,The Hall of Inherited Guilt,"These aren’t your regrets—but you carry them anyway. Your father’s echo. Your mother’s weight. Someone else’s war.",
30,The Flickering Choir,"Voices you recognize—some alive, some dead—start singing in perfect dissonance. You hear your name in every note.",
31,The Paper Cathedral,A church made of books and broken promises.,"+1 Sanity"
32,The Gasping Gate,"It breathes in regret, exhales denial.","-1 Hope, reveal 1 tile"
33,Teeth in the Floor,You stepped too hard. It bites back.,-2 Health
34,The Clockmaker’s Gallows,You hear the ticking stop. Time is watching.,"+1 Sanity"
35,Gallery of Self-Doubt,"Every painting is of you, flinching.","-1 Hope, +1 Sanity"
36,The Mourning Closet,It reeks of old loss and recent breath.,Gain item: Mourning Veil (+1 Sanity if held)
37,The Blood-Slick Mirror,Reflections bleed truths you didn’t say.,"-1 Sanity, +1 Hope"
38,The Hollow Host,It welcomes you with arms full of nothing.,"+1 Health, lose 1 Hope"
39,The Smiling Husk,It wears your skin like a promise.,"-1 Sanity, gain item: Husk Mask (disguise tile effects)"
40,The Weeping Ledger,It knows what you owe. And it's still calculating.,"-1 Health, +1 Hope"
41,The Glass Colossus,A shattered giant weeps molten glass tears into your hands.,"-1 Health, gain item: Tearshard (use to reveal any tile)"
42,The Skeletal Pianist,It plays without fingers. The song is your pulse.,"+1 Sanity"
43,Cathedral of Static,A loud silence crackles through ancient tech ruins.,"-1 Sanity, gain item: Signal Crown (resist next encounter effect)"
44,Tower of the Forgotten Signal,A beacon blinks out a message you almost understand.,"Reveal 3 tiles"
45,The Chain That Whispers,It wraps around you like a question you’re afraid to ask.,"Lose 1 Hope, gain item: Whisper Link (lets you pull Cait one tile)"
46,The Lantern Maw,It lights the way by consuming what you love.,"Lose an item, gain +1 Health and +1 Sanity"
47,Dagger in the Cradle,A lullaby drips from the blade. You know the words.,"-1 Hope, gain item: Singing Blade (+1 attack if combat added later)"
48,The Rustbone Choir,Their harmony fractures bone but heals pride.,"-2 Health, +2 Hope"
49,Archive of Misremembered Promises,You find a vow written in your own handwriting.,"+1 Sanity, -1 Hope"
50,The Salting Tree,Its branches grow from old wounds. They reach for yours.,"-1 Health, gain item: Saltroot Bandage (+2 Health on use)"
51,The Bone Lantern,It lights only things that have died.,Gain item: Bone Lantern (lets you sense death tiles nearby)
52,The Stillbirth Clock,Its hands move backwards. One just twitched.,"-1 Hope"
53,The Limbo Hearth,It burns with warmth that doesn’t reach the skin.,"+1 Sanity"
54,Altar of Echoed Sins,Your crimes are written here. In someone else’s blood.,"-1 Sanity, +1 Hope"
