ID,Name,Description,Effect
1,Glass Memory,"A broken shard that reflects who you were, not who you are.",+1 Sanity
2,Eternal Candle,Burns in defiance of darkness. Comforts the soul.,+1 Hope
3,Bone Charm,Strung together from something that used to laugh.,+1 Hope
4,Memory Tome,Pages filled with words you didn’t write but remember anyway.,+1 Sanity
5,Muted Stone,"Warm and silent, like holding someone’s last word.",Prevents sanity loss at Whispering Wound.
6,Choral Thread,A delicate thread vibrating with half-remembered songs.,Reveals a tile if used while resting.
7,Rib Key,Opens doors made of bone and bad intentions.,Reveal 1 tile
8,Echo Stone,Whispers what lies beneath the next tile.,Reveal adjacent tile.
9,Vein Map,Pulses when near secrets.,Reveal 1 tile
10,Crown of Loss,It fits perfectly. You lose yourself a little more.,"+1 Hope, -1 Sanity when worn."
11,Withered Apple,Tastes like regret. Heals like forgiveness.,Restore 1 Health.
12,Paper Tongue,Translates feelings into warnings.,Reveal 1 tile
13,Whisper Link,A psychic tether to someone who still matters.,+1 Hope
14,Singing Blade,Hums lullabies when blood touches it.,+1 Hope
15,Saltroot Bandage,Stings. Then soothes.,+2 Health on use.
16,Signal Crown,Worn by those who still listen.,+1 Hope
17,Tearshard,Molten glass cooled by your shame.,Reveal any tile once.
18,Painted Memory,Stares back with your eyes.,+1 Sanity
19,Mourning Veil,Softens the impact of loss.,+1 Sanity once per session.
20,Face of Another,They won’t know it’s you. You might forget too.,+1 Hope
21,Regret Seed,Can grow back what you destroyed.,+1 Hope
22,Rusty Band,A broken promise looped in iron.,+1 Hope
23,Echo Thread,Tangles with forgotten speech.,+1 Hope
24,Oracle Wick,Burns fate for truth.,+1 Hope
25,Splintered Mask,Lies better than you ever could.,+1 Hope when entering performance-themed room.
